Food Name,Food Code,Description,Group,Group (sub-class),Comments,Description Footnote,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Starch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Cholesterol (mg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg)
"Sardines, canned in oil, drained",16-329,"13 samples, 10 brands; canned in vegetable and olive oil",Fish and fish products ,JC,"Data from FFP as 16-216, fatty acids from FA 16-314.  Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997, Food Surveillance Information sheet No.117.",,220,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,1.1,0.44,0,0,0,58.6,3.73,23.3,14.1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,20.5,2.6,17.9,2.27,37.5,4.76,0,4.8,38.9,4.94,0,5,22.7,2.88,0,0,0.9,0.1,65,7,0,7,5,0.31,0,0.01,0.29,6.9,4.4,11.3,0.18,15,8,0.86,5,0,450,410,500,46,520,2.3,0.11,2.2,620,0.19,49,23
"Salmon, grilled",16-327,"Calculated from raw, steaks; flesh only 16-326",Fish and fish products ,JC,"Data from FFP as 16-203. Vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101.",,215,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,14,0,0,0,0,0,0,0,0,0,2.3,0,0,0.18,0,0,0,60.7,3.87,24.2,13.1,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,5.8,0,0,0,4.1,0,0,0,0,0,0,60,16,0,16,7.1,2.29,0,0.25,0.14,7.7,4.5,7.7,0.81,5,19,1.16,9,0,54,430,25,32,300,0.5,0.04,0.7,69,0.02,31,44
"Salmon, raw",16-326,"11 farmed and wild samples, whole fish and steaks",Fish and fish products ,JC,"Data as FFP 16-202 with vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101.",,180,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,12,0,0,0,0,0,0,0.11,5.4,0,1.9,0,0,0.15,0,0,0,67.2,3.23,20.2,11,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,4.4,0,0,0,3.1,0,0,0,0,0,0,50,13,0,13,5.9,1.91,0,0.23,0.13,7.2,3.8,11,0.75,4,16,1.02,7,0,45,360,21,27,250,0.4,0.03,0.6,58,0.02,26,37
"Mackerel, grilled",16-325,"10 samples, grilled for 5 minutes per side; flesh and skin",Fish and fish products ,JC,"Data from FFP as 16-194. Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997, Food Surveillance Information sheet No.117. Vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997.",,239,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,11,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,58.6,3.33,20.8,17.3,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,8.5,0,0,0,3.5,0,0,0,0,0,0,58,48,0,5,8.8,0.46,0,0.15,0.32,9.4,3.9,13.3,0.45,1,0,0.93,6,0,63,360,12,28,230,1.2,0.09,0.7,97,0.02,36,170
"Anchovies, canned in oil, drained",16-323,"10 samples, 4 brands",Fish and fish products ,JC,"Data from 16-168 except fatty acids and phytosterols  from RHM, fatty acids in foods, 1993 (Food surveillance information sheet No. 7)",,191,25.2,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.4,4.03,25.2,10,0,191,0,0,0,0,0,0,0,0,0,0,0,0,16.1,1.6,0,0,0,0,0,0,53,5.3,0,0,18.4,1.8,0,0,0,0,0.5,0,63,57,0,57,0,0,0,0,0.1,3.8,4.7,8.5,0,11,18,0,0,0,3930,230,300,56,300,4.1,0.17,3,6090,0.18,0,0
"Tuna, canned in oil, drained",16-230,"10 samples, 6 brands; skipjack tuna",Fish and fish products ,JC,As FFP 16-230,,190,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0.19,2.2,5.4,0,0,0,63.3,4.34,27.1,9,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,40.6,3.29,15,1.22,26.3,2.13,0,2.3,53.3,4.32,0,4.8,17.6,1.43,0,0,2.8,0.23,50,0,0,0,3,1.94,0,0.02,0.12,16.1,5.1,0,0.51,5,5,0.32,3,0,290,260,12,33,200,1.6,0.2,1.1,530,0.05,90,14
"Trout, rainbow, grilled",16-330,"11 samples, grilled 7 minutes per side; flesh only",Fish and fish products ,JC,"Data as FFP 16-226, vitamin D from LGC 'Determination of 25-OH vitamin D in selected foodstuffs' 1997, Food Surveillance Information Sheet No.101. Fatty acids as FA 16-315",,135,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,44,0,0,0,0,0,0,0,0,0,1,0,0,0.06,0,0,0,73.3,3.44,21.5,5.4,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,9.4,0.46,25.7,1.25,41.6,2.02,0,2,35.3,1.72,0,1.7,23,1.12,0.1,0,0,0,70,29,0,29,9.6,1.01,0,0.2,0.12,4.2,4,8.2,0.35,5,10,1.58,3,0,55,410,21,26,250,0.4,0.05,0.5,65,0.01,21,15
"Herring, grilled, weighed with bones and skin",16-177,Calculated from grilled 16-176,Fish and fish products ,JC,As FFP 16-177,,123,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,43.5,2.19,13.7,7.6,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,3.2,0,0,0,1.6,0,0,0,0,0,0,29,23,0,0,10.9,0.44,0,0,0.18,2.7,2.6,0,0.24,10,7,0.53,5,0,110,300,54,29,210,1.1,0.13,0.8,150,0.03,31,26
"Herring, grilled",16-176,"Samples gutted, grilled for 7 minutes per side; flesh only",Fish and fish products ,JC,As FFP 16-176,,181,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,63.9,3.22,20.1,11.2,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,4.7,0,0,0,2.3,0,0,0,0,0,0,43,34,0,0,16.1,0.64,0,0,0.27,4,3.8,0,0.35,15,10,0.78,7,0,160,430,79,42,310,1.6,0.19,1.2,220,0.05,46,38
"Herring, raw",16-175,"35 fish, purchased whole over the year",Fish and fish products ,JC,As FFP 16-175 with fatty acids as FA 16-309,,190,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,68,2.85,17.8,13.2,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,2.7,0.32,15.4,1.83,50.4,5.98,0,5.98,18.3,2.17,0,2.17,30.7,3.64,0.9,0.11,0,0,50,44,0,0,19,0.76,0,0.01,0.26,4.1,3.3,0,0.44,13,9,0.81,7,0,120,320,60,32,230,1.2,0.14,0.9,170,0.04,35,29
"Salmon, steamed, weighed with bones and skin",16-206,Calculated from steamed 16-205,Fish and fish products ,JC,"As FFP 16-206. Vitamin K1 from  Bolton-Smith et al Br.J. Nutr.83, 2000 and calculated from 16-205.",,150,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,10,0,0,0,0,0,0,0,0,0,1.58,0,0,0.12,0,0,0,49.7,2.69,16.8,9.2,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,3.6,0,0,0,2.6,0,0,0,0,0,0,42,11,0,0,6.7,1.59,0.12,0.17,0.11,5.4,3.1,0,0.62,3,13,0.68,6,0,37,300,17,22,210,0.3,0.02,0.5,48,0.02,22,3
"Mackerel, smoked",16-196,"10 samples, flesh and skin",Fish and fish products ,JC,As FFP 16-196,,354,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,47.1,3.02,18.9,30.9,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,15.1,0,0,0,6.3,0,0,0,0,0,0,105,31,0,0,8,0.25,0,0.26,0.52,9.5,3.5,0,0.5,6,0,1.03,3,0,750,310,20,28,210,1.2,0.09,1.1,1130,0.02,33,150
"Pilchards, canned in tomato sauce",16-201,"10 samples, 6 brands; whole contents",Fish and fish products ,JC,As FFP 16-201,,144,16.7,1.1,0.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,2.5,0.13,0,0.04,0,0,0,70.4,2.67,16.7,8.1,1.1,144,0.2,0,0.9,0.4,0,0.5,0,0,0,0,0,0,0,1.7,3.8,0.28,40.8,2.97,30.4,2.22,0,2.2,46.1,3.36,0,3.4,23.4,1.71,0.1,0.01,0,0,56,7,140,0,14,2.56,0,0.01,0.33,5.9,3.1,0,0.27,13,0,0.85,11,0,290,310,250,29,280,2.5,0.16,1.3,520,0.11,30,64
"Salmon, steamed",16-205,"Calculated from raw, steaks; flesh only",Fish and fish products ,JC,"As FFP supplement. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,194,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,13,0,0,0,0,0,0,0,0,0,2.05,0,0,0.16,0,0,0,64.5,3.49,21.8,11.9,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4.7,0,0,0,3.3,0,0,0,0,0,0,54,14,0,0,8.7,2.07,0.16,0.22,0.14,7,4.1,0,0.81,4,17,0.88,7,0,49,390,23,29,270,0.4,0.03,0.7,63,0.02,28,4
"Mackerel, fried in blended oil, weighed with bones and skin",16-193,Calculated from fried in blended oil 16-192,Fish and fish products ,JC,As FFP 16-193,,198,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,2.8,17.5,14.2,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,7,0,0,0,2.9,0,0,0,0,0,0,50,31,0,0,4.7,0,0,0.1,0.22,6.4,3.3,0,0.31,8,0,0.61,4,0,59,270,10,23,180,0.8,0.07,0.6,77,0.02,28,130
"Mackerel, fried in blended oil",16-192,Analysis and calculation from raw; fried in blended oil. Flesh only,Fish and fish products ,JC,As FFP 16-192,,271,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3.83,24,19.5,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9.5,0,0,0,4,0,0,0,0,0,0,69,43,0,0,6.4,0,0,0.14,0.3,8.8,4.5,0,0.42,11,0,0.83,5,0,81,370,14,31,250,1,0.1,0.8,110,0.03,38,180
Fish paste,16-334,"30 samples, sardine, crab, lobster and salmon",Fish and fish products ,JR,"Data as FFP 16-295. Iron from LGC 'The determination of different forms of Iron in foodstuffs' 1997, Food Surveillance Information sheet No.117.",,169,15.3,3.4,0.5,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,67.1,2.45,15.3,10.5,3.7,170,3.2,0,0.5,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,0,0.87,0,0.02,0.2,4.1,2.9,7,0,0,0,0,0,0,600,300,280,33,310,18.3,0.6,2,940,0,0,310
"Curry, prawn, takeaway",16-333,"20 samples, average of 10 Bhuna and 10 Madras",Fish and fish products ,JR,"Data from Aspland and James Ltd, (1997), Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147, average of bhuna and madras. Fatty acids average of FA supplement 16-317/318",,118,8.2,2.1,1.2,0.9,0,0,0,0,89.8,43.7,7.5,27,5.1,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.4,1.31,8.2,8.5,2.2,117,0.9,0,1.2,0.5,0,0.6,0.1,0.1,0.1,0,2,2.5,17.23,1.4,0,0,0,0,46.81,3.8,47.13,3.83,35.26,2.87,35.26,2.87,16.91,1.19,0,0,0.31,0,144.1,7,279,54,0,3.16,0,0.02,0.05,0.6,1.2,1.7,0.08,0.4,4,0.3,1.8,2,311,198,97,26,95,4.23,0.12,0.8,440,0.31,14,34
"Szechuan prawns with vegetables, takeaway",16-335,10 samples from different outlets,Fish and fish products ,JR,"Aspland and James Ltd, (1997), Nutrient analysis of ethnic and takeaway foods, Food Surveillance Information Sheet No.147. Fatty acids re-calculated from supplement 16-320 using GCF =0.956",,83,7.8,2.4,0.8,1.1,0,0,0,0,28,14.2,2.1,8.4,0.8,0,0,1.1,0,0,0,0,100,510,17,219,407,0,0,0,1.86,0,1.27,0.08,0,0,0,81.1,1.25,7.8,4.7,2.5,83,1.2,0.5,0.8,0.4,0,0.4,0,0,0,0,1.4,1.2,14.66,0.66,26.51,1.04,9,0.35,53.64,2.41,53.8,2.42,30.99,1.39,30.99,1.39,16.54,0.65,0,0,0.16,0,55.6,0,569,95,0,1.99,0,0.02,0,0.4,0,0,0.06,0,0,0,0,2,536,102,40,15,65,1.13,0.11,0.4,827,0,0,0
"Plaice, frozen, steamed, weighed with bones and skin",16-109,Calculated from steamed 16-108,Fish and fish products ,JA,As FFP 16-109,,66,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2,2.26,14.1,1.1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,39,0,0,0,0,0,0,0.21,0.12,1.7,2.6,0,0.17,1,10,0.63,34,0,76,210,19,16,120,0.1,0.01,0.4,97,0.01,29,26
"Plaice, frozen, steamed",16-108,"12 samples, steamed for 15-20 minutes, fillets; flesh only",Fish and fish products ,JA,As FFP 16-108,,92,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,3.14,19.6,1.5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0,54,0,0,0,0,0,0,0.29,0.17,2.4,3.7,0,0.24,1,14,0.87,48,0,110,290,27,22,160,0.2,0.02,0.6,140,0.01,40,36
"Plaice, raw",16-102,"8 fish purchased whole, and literature sources",Fish and fish products ,JA,As FFP and FA supplements 16-102,,79,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.5,2.67,16.7,1.4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.01,32.3,0.32,39.5,0.39,0,0.4,35.5,0.35,0,0.3,23.4,0.23,1.6,0.02,0,0,42,0,0,0,0,0,0,0.2,0.19,3.2,3.1,0,0.22,1,11,0.8,47,0,120,280,45,22,180,0.3,0.02,0.5,170,0.01,37,33
"Whiting, in crumbs, fried in blended oil, weighed with bones and skin",16-163,"Calculated from fried in blended oil, 16-162",Fish and fish products ,JA,As FFP 16-163,,172,16.3,5.7,0.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7,2.61,16.3,9.3,6.3,172,6.1,0,0.2,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,3.3,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,0,0,3,0,0,0,0,0,0,0,180,290,43,30,230,0.6,0,0,170,0,0,0
"Whiting, steamed",16-160,"Analysis and calculation from steamed, flesh only",Fish and fish products ,JA,As FFP 16-160,,92,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,3.35,20.9,0.9,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0.2,0,0,0,0,0,0,55,0,0,0,0,0,0,0.05,0.31,1.8,3.9,0,0.2,0,0,0.24,1,0,110,400,21,28,190,0.1,0.01,0.4,140,0.01,25,80
"Whiting, in crumbs, fried in blended oil",16-162,Fillets coated in crumbs and fried,Fish and fish products ,JA,As FFP 16-162,,191,18.1,6.4,0.2,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2.9,18.1,10.3,7,191,6.8,0,0.2,0,0,0,0,0,0,0,0.2,0,0,1.1,0,0,0,0,0,0,0,3.7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,0,0,3.4,0,0,0,0,0,0,0,200,320,48,33,260,0.7,0,0,190,0,0,0
"Coley, steamed",16-340,"Analytical and calculated values, pieces from tail end; flesh only",Fish and fish products ,JA,"Data as FFP, 16-032 with vitamin D from LGC 'Determination of vitamin D3 and 25OH-vitamin D3 in imported fish and other samples' 1999.",,105,23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0.46,0,0,0,0,0,0,74.8,3.73,23.3,1.3,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.3,0,0,0,0.4,0,0,0,0,0,0,55,5,0,5,0.3,0.46,0,0.19,0.27,2.9,4.4,7.3,0.4,5,0,0.46,3,0,97,460,19,31,410,0.6,0.06,0.6,83,0.01,23,46
"Coley, steamed, weighed with bones and skin",16-341,Calculated from steamed 16-340,Fish and fish products ,JA,"As FFP 16-033, with vitamin D calc from LGC 'Determination of vitamin D3 and 25OH-vitamin D3 in imported fish and other sample' 1999.",,89,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.39,0,0,0,0,0,0,63.6,3.17,19.8,1.1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,47,4,0,0,0.3,0.39,0,0.16,0.23,2.4,3.7,0,0.34,4,0,0.39,3,0,82,390,16,26,350,0.5,0.05,0.5,71,0.01,20,39
"Whiting, steamed, weighed with bones and skin",16-161,Calculated from steamed 16-160,Fish and fish products ,JA,As FFP 16-161,,85,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,3.12,19.4,0.8,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0,0,51,0,0,0,0,0,0,0.05,0.29,1.7,3.6,0,0.19,0,0,0.22,1,0,100,370,20,26,180,0.1,0.01,0.4,130,0.01,23,74
"Rock Salmon/Dogfish, in batter, fried in blended oil",16-134,"Samples as fried in retail blend oil, fatty acids calculated",Fish and fish products ,JA,As FFP 16-134,,293,14.7,9.4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,2.83,14.7,21.9,10.3,295,10.3,0,0,0,0,0,0,0,0,0,0.4,0,0,2.9,0,0,0,0,0,0,0,8,0,0,0,9.9,0,0,0,0,0,0,0,94,0,0,0,0,0,0.07,0.08,3.2,2.8,0,0.21,0,4,0.57,12,0,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,0
"Rock Salmon/Dogfish, in batter, fried in blended oil, weighed with bones",16-135,Calculated from fried in blended oil 16-134,Fish and fish products ,JA,As FFP 16-135,,273,13.7,8.7,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7,2.63,13.7,20.4,9.6,274,9.6,0,0,0,0,0,0,0,0,0,0.4,0,0,2.7,0,0,0,0,0,0,0,7.4,0,0,0,9.2,0,0,0,0,0,0,0,87,0,0,0,0,0,0.07,0.07,3,2.6,0,0.2,0,4,0.53,11,0,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,0
"Rock Salmon/Dogfish, in batter, fried in dripping",16-136,Samples as fried in retail blend oil 16-138 fatty acids calculated,Fish and fish products ,JA,As FFP 16-136,,293,14.7,9.4,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.3,2.83,14.7,21.9,10.3,295,10.3,0,0,0,0,0,0,0,0,0,0.4,0,0,9.6,0,0,0,0,0,0,0,8.1,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,3.2,2.8,0,0.21,0,4,0.57,12,0,160,230,44,18,190,0.5,0.08,0.4,170,0.14,22,0
"Rock Salmon/Dogfish, in batter, fried in dripping, weighed with bones",16-137,Calculated from fried in dripping 16-136,Fish and fish products ,JA,As FFP 16-137,,273,13.7,8.7,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.7,2.63,13.7,20.4,9.6,274,9.6,0,0,0,0,0,0,0,0,0,0.4,0,0,8.9,0,0,0,0,0,0,0,7.6,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,3,2.6,0,0.2,0,4,0.53,11,0,150,210,41,17,180,0.5,0.07,0.4,160,0.13,20,0
"Skate, in batter, fried in blended oil",16-146,"Samples as fried in retail blend oil, 16-150 fatty acids calculated",Fish and fish products ,JA,As FFP 16-146,,168,14.7,4.5,0.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.7,3.67,14.7,10.1,4.9,168,4.8,0,0.1,0,0,0,0,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,3.4,0,0,0,4.7,0,0,0,0,0,0,0,9,0,0,0,1.2,0,0.03,0.1,2.4,2.7,0,0,0,0,0,0,0,140,240,50,27,180,1,0.09,0.9,170,0,0,0
"Skate, in batter, fried in blended oil, weighed with bones",16-147,Calculated from fried in blended oil  16-146,Fish and fish products ,JA,As FFP 14-147,,143,12.5,3.8,0.1,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,3.12,12.5,8.6,4.2,143,4.1,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0.9,0,0,0,0,0,0,0,2.9,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,1.02,0,0.03,0.09,2,2.3,0,0,0,0,0,0,0,120,200,43,23,150,0.9,0.08,0.8,140,0,0,0
"Coley, raw",16-031,Literature sources and estimation from frozen coley,Fish and fish products ,JA,As FFP 16-031,,82,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,80.2,2.93,18.3,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,40,4,0,0,0,0.36,0,0.15,0.2,2.3,3.4,0,0.29,3,0,0.42,3,0,86,360,9,25,250,0.3,0.05,0.5,84,0.01,18,36
"Cod, frozen, raw",16-019,11 samples from assorted supermarkets; steaks,Fish and fish products ,JA,As FFP 16-019,,72,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,82.4,2.67,16.7,0.6,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,39,2,0,0,0,0.44,0,0.04,0.05,1.6,3.1,0,0.18,1,6,0.27,1,0,71,340,8,22,180,0.1,0.06,0.4,120,0.01,27,110
"Lemon sole, steamed, weighed with bones and skin",16-086,Calculated from steamed 16-085,Fish and fish products ,JA,As FFP 16-086,,64,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.8,2.34,14.6,0.6,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,52,0,0,0,0,0,0,0.07,0.07,2.7,2.7,0,0,1,9,0.21,4,0,85,200,15,14,180,0.4,0.01,0.3,85,0,52,0
